time_stamp,open,high,low,close,volume,SMA50,SMA100,SMA200,EMA50,EMA100,EMA200,WMA50,WMA100,WMA200,DEMA50,DEMA100,DEMA200,TEMA50,TEMA100,MACD,MACD_HIST,MACD_SIGN,B2B20SMARLB,B2B20SMARMB,B2B20SMARUB,B2B20EMARLB,B2B20EMARMB,B2B20EMARUB,B2B20WMARLB,B2B20WMARMB,B2B20WMARUB,B2B20DEMARLB,B2B20DEMARMB,B2B20DEMARUB,B2B20TEMARLB,B2B20TEMARMB,B2B20TEMARUB,B2B20T3RLB,B2B20T3RMB,B2B20T3RUB,B2B20TRIMARLB,B2B20TRIMARMB,B2B20TRIMARUB,B2B20KAMARLB,B2B20KAMARMB,B2B20KAMARUB,B2B20MAMARLB,B2B20MAMARMB,B2B20MAMARUB,momentum50,momentum100,momentum200,RSI7,RSI14,RSI21,MFI7,MFI14,MFI21,closeChg,closePctChg,Change
8/2/2019 11:34,1816.7,1816.7,1815.87,1816.0699,8322,1814.8114,1818.9928,1834.3994,1816.9235,1821.4434,1832.5234,1815.923,1816.6412,1825.422,1814.348,1810.4885,1812.1737,1810.4695,1818.4074,0.1171,-0.2651,0.3823,1814.398,1817.4967,1820.5954,1813.4739,1816.5726,1819.6713,1813.7765,1816.8752,1819.9739,1813.7868,1816.8855,1819.9842,1813.5498,1816.6485,1819.7472,1813.8971,1816.9958,1820.0945,1814.2941,1817.3928,1820.4915,1813.3753,1816.474,1819.5727,1814.0089,1817.1077,1820.2064,2.3259,-12.755,-28.4301,43.8004,48.268,48.7546,50.9859,26.8914,45.3689,0.1701,0.009365502,0
8/2/2019 11:35,1815.8,1816.55,1815.2,1815.2,5170,1814.8219,1818.8642,1834.248,1816.8559,1821.3198,1832.351,1815.9383,1816.5661,1825.2309,1814.3165,1810.4606,1812.0332,1810.4909,1818.1268,-0.0024,-0.3077,0.3053,1814.1198,1817.3232,1820.5265,1813.2386,1816.4419,1819.6452,1813.4532,1816.6565,1819.8598,1813.4034,1816.6067,1819.81,1813.0549,1816.2583,1819.4616,1813.7159,1816.9192,1820.1225,1813.9443,1817.1476,1820.3509,1813.207,1816.4103,1819.6136,1813.9856,1817.1889,1820.3922,0.5277,-12.8582,-30.265,36.4761,44.8029,46.6818,39.9232,28.4941,39.6765,0.8699,0.047900139,0
8/2/2019 11:36,1815.4552,1815.4552,1813.89,1814.05,10510,1814.7493,1818.7389,1834.0785,1816.7458,1821.1758,1832.1689,1815.908,1816.4708,1825.03,1814.2003,1810.3906,1811.873,1810.5188,1817.8508,-0.1878,-0.3945,0.2067,1813.6394,1817.1207,1820.6019,1812.7328,1816.2141,1819.6953,1812.8635,1816.3448,1819.826,1812.6758,1816.1571,1819.6383,1812.1599,1815.6412,1819.1224,1813.2938,1816.7751,1820.2563,1813.4356,1816.9169,1820.3981,1812.811,1816.2923,1819.7735,1813.7545,1817.2358,1820.717,-3.63,-12.5299,-33.9149,28.9986,40.6491,44.0808,24.1072,28.593,39.8883,1.15,0.0633539,1
8/2/2019 11:37,1814.4,1814.4,1812.39,1812.8422,6959,1814.7002,1818.6156,1833.8942,1816.5928,1821.0108,1831.9766,1815.8332,1816.354,1824.8187,1814,1810.2774,1811.6922,1810.5519,1817.5795,-0.4272,-0.5071,0.0799,1812.9432,1816.8671,1820.7911,1811.969,1815.893,1819.8169,1812.0133,1815.9373,1819.8612,1811.6269,1815.5508,1819.4748,1810.9021,1814.8261,1818.75,1812.6018,1816.5257,1820.4497,1812.7585,1816.6825,1820.6064,1810.6433,1814.5672,1818.4912,1813.3186,1817.2425,1821.1665,-2.4579,-12.3309,-36.8478,23.1762,36.7906,41.5287,23.7973,30.3332,40.2943,1.2078,0.066580304,1
8/2/2019 11:38,1813.11,1813.38,1811.6801,1811.6899,14288,1814.6749,1818.477,1833.6955,1816.4005,1820.8262,1831.7747,1815.7151,1816.2169,1824.5977,1813.7247,1810.1244,1811.4923,1810.5886,1817.3127,-0.7018,-0.6254,-0.0764,1812.1469,1816.4756,1820.8043,1811.164,1815.4927,1819.8213,1811.1156,1815.4442,1819.7729,1810.4923,1814.8209,1819.1496,1809.5384,1813.8671,1818.1957,1811.5634,1815.8921,1820.2208,1812.0907,1816.4194,1820.748,1810.0947,1814.4234,1818.752,1812.8744,1817.2031,1821.5317,-1.2622,-13.8601,-39.75,18.9434,33.5218,39.2525,13.2079,29.2023,40.0945,1.1523,0.063563172,1
8/2/2019 11:39,1812,1812.15,1811.3,1811.49,8033,1814.6681,1818.3297,1833.4864,1816.2079,1820.6414,1831.5729,1815.5902,1816.0785,1824.3768,1813.452,1809.9702,1811.2925,1810.6276,1817.0502,-0.925,-0.6788,-0.2461,1811.553,1816.0384,1820.5237,1810.6261,1815.1115,1819.5968,1810.4841,1814.9694,1819.4548,1809.6735,1814.1588,1818.6442,1808.5562,1813.0416,1817.5269,1810.6745,1815.1598,1819.6452,1811.6522,1816.1375,1820.6229,1808.4713,1812.9567,1817.442,1812.6298,1817.1151,1821.6005,-0.34,-14.725,-41.8201,18.2679,32.9742,38.8644,0,29.2638,33.8702,0.1999,0.011033897,1
8/2/2019 11:40,1812.2028,1812.9235,1811.9285,1812.1,5245,1814.6624,1818.1545,1833.2707,1816.0468,1820.4722,1831.3791,1815.4895,1815.9552,1824.164,1813.2442,1809.8466,1811.1087,1810.6677,1816.792,-1.0406,-0.6356,-0.405,1811.271,1815.6309,1819.9908,1810.4647,1814.8247,1819.1846,1810.2344,1814.5943,1818.9542,1809.3433,1813.7032,1818.0632,1808.1798,1812.5397,1816.8996,1810.3751,1814.7351,1819.095,1811.4979,1815.8579,1820.2178,1808.5535,1812.9134,1817.2733,1812.6221,1816.982,1821.3419,-0.285,-17.5176,-43.13,27.4725,36.3877,40.7413,8.9556,35.5285,27.9171,-0.61,-0.033673937,1
8/2/2019 11:41,1811.6801,1812.0699,1810.5201,1811.5,17203,1814.6557,1817.9425,1833.047,1815.8685,1820.2946,1831.1813,1815.3655,1815.8234,1823.9473,1813.0045,1809.7052,1810.9168,1810.7081,1816.5379,-1.1672,-0.6097,-0.5575,1810.8757,1815.2381,1819.6006,1810.1456,1814.508,1818.8705,1809.8385,1814.2009,1818.5634,1808.8445,1813.2069,1817.5694,1807.6292,1811.9917,1816.3541,1809.9368,1814.2993,1818.6617,1811.2136,1815.5761,1819.9385,1808.4803,1812.8427,1817.2052,1812.4439,1816.8063,1821.1688,-0.3374,-21.2031,-44.74,24.3284,34.5252,39.4892,7.7795,26.017,20.0938,0.6,0.033110755,1
8/2/2019 11:42,1811.64,1813.199,1811.02,1812.83,11968,1814.7157,1817.7584,1832.8307,1815.7494,1820.1468,1830.9987,1815.2939,1815.7221,1823.7462,1812.8832,1809.6222,1810.755,1810.7482,1816.288,-1.1469,-0.4716,-0.6754,1810.8136,1814.9281,1819.0425,1810.2338,1814.3482,1818.4627,1809.8571,1813.9716,1818.086,1808.912,1813.0264,1817.1409,1807.7937,1811.9082,1816.0226,1810.0622,1814.1766,1818.2911,1811.1666,1815.2811,1819.3955,1808.7276,1812.8421,1816.9565,1812.483,1816.5975,1820.7119,3,-18.41,-43.27,41.6099,41.6543,43.5288,23.1954,29.8314,26.4189,-1.33,-0.073419818,1
8/2/2019 11:43,1813,1816.8199,1812.66,1815.23,24242,1814.8069,1817.6303,1832.6285,1815.729,1820.0494,1830.8418,1815.3141,1815.6721,1823.571,1812.9556,1809.6378,1810.6442,1810.7882,1816.0421,-0.9266,-0.201,-0.7256,1810.9369,1814.7821,1818.6273,1810.587,1814.4322,1818.2774,1810.1551,1814.0003,1817.8455,1809.4671,1813.3123,1817.1575,1808.638,1812.4832,1816.3284,1810.3589,1814.204,1818.0492,1811.1491,1814.9943,1818.8395,1809.1163,1812.9615,1816.8067,1812.5277,1816.3728,1820.218,4.5599,-12.8101,-40.4401,60.5688,51.8442,49.8699,47.167,38.5488,36.6481,-2.4,-0.132389689,0
